id_supplier,address,blacklisted,contact_person,date_added,email,industry,is_preferred_supplier,last_updated,name,phone_number,rating,reliability_score,status,tax_id,total_contract_value,under_review
59903.0,"1268 Brett Pike South David, ND 39642",1.0,Warren Patel,2022-03-06,,###invalid###,1,2023-08-12,"Garcia, Rosario and Collier",001-772-645-5108x37282,B,65.0,Active,217172846,###invalid###,###invalid###
84156.0,Unit 4371 Box 4740 DPO AA 09724,,Vincent Johnson,2023-09-20,fryeerica@example.com,Consulting,1,2022-11-06,Ramirez PLC,+1-470-607-7296,B,82.0,Inactive,187435014,47663.49,1
6723.0,"118 Gabriella Lock Apt. 306 Lake Nathanport, WA 89605",1.0,Robert Garza,2022-09-21,,Construction,,2020-12-23,Perry-Baker,341.584.8769x3569,A,68.0,Pending,255514968,43556.76,0
7682.0,"4992 Timothy Lodge Haleland, CA 52317",1.0,Lauren Cox,2022-11-02,davidwise@example.org,Construction,1,2024-05-21,"Hardy, Smith and Fuentes",(213)846-1559x5755,B,80.0,,200648064,54469.12,###invalid###
28431.0,Unit 4931 Box 5752 DPO AA 08823,1.0,Ashley Hampton,2024-07-04,###invalid###,Electrical,0,2021-03-20,Juarez-Elliott,683-966-7003x246,C,57.0,Inactive,482910931,50375.9,1
89033.0,"86360 Joseph Mount Archerchester, MI 56286",1.0,Anna Steele,2023-11-20,maurice84@example.com,Construction,0,2025-02-04,Gardner-Moore,,B,56.0,Inactive,794176184,42084.98,1
55596.0,,0.0,Tammy Carlson,2021-03-23,austincox@example.org,Consulting,1,2021-01-01,"Johnson, Smith and Curtis",(459)574-1651x5128,C,100.0,Active,829068766,99406.21,0
86695.0,USNV Green FPO AE 79721,1.0,Jessica Burns,2021-04-17,douglasdawn@example.org,Plumbing,1,2023-02-10,Alvarez Group,+1-459-316-6024x647,B,92.0,Pending,617010012,55159.08,1
30639.0,"46443 Samuel Shores Lutzshire, TX 85518",0.0,Lisa Smith,2021-08-18,xdavis@example.com,Plumbing,0,2022-04-05,Jones-Nguyen,001-267-955-9429x2314,A,59.0,Active,273060830,26862.24,0
16503.0,"219 Meyer Drive Apt. 351 Maryport, VT 68388",1.0,Courtney Lee,2021-10-13,helen85@example.org,###invalid###,0,2024-01-26,"Stewart, Powers and Vasquez",(894)667-7096,B,55.0,Pending,610525223,20293.47,0
47662.0,"720 Hodges Meadows Apt. 609 Jacobview, KS 82033",0.0,Brandi Hudson,,brian76@example.net,Construction,1,2023-09-04,Oneill PLC,860.401.7813x4660,C,65.0,Inactive,105426426,58732.79,1
56579.0,"50704 Andrew Lock Suite 555 Millerbury, OH 62197",1.0,Brandon Mejia,2021-05-03,gcollins@example.org,Plumbing,0,2023-07-24,Cross and Sons,,,54.0,Inactive,209933904,38277.78,1
17909.0,"78417 David Mill Apt. 302 Port Dianeborough, DC 12486",1.0,Matthew Thompson,2021-09-14,francesmclean@example.net,Construction,,2023-01-26,Hendrix PLC,001-734-942-2777x235,,,Pending,405763764,31712.11,1
40983.0,"500 Laura Trail Apt. 588 Jonathanmouth, NY 77076",0.0,Dr. Rebecca Martin,2025-04-16,,Construction,,2021-12-15,###invalid###,328.979.3929x9931,C,50.0,Active,,76760.81,1
1881.0,"8723 Gina Inlet Angelachester, MT 51936",1.0,Joy Owen,2023-06-16,tonyjones@example.net,Construction,0,2023-08-28,Evans-Scott,988-375-4313x493,A,,Pending,49616119,51318.67,1
76664.0,"20541 Oliver Meadow Jonathanton, AL 76668",1.0,,2021-02-10,thomastodd@example.com,Electrical,1,2022-01-11,Herrera-Zimmerman,216.607.4745x40370,C,82.0,Pending,725796706,,1
27754.0,Unit 3260 Box 1653 DPO AA 03715,0.0,Ms. Candace Johnson,2021-12-21,stephencastillo@example.org,Construction,1,,Johnson-Miller,731.426.4488x13918,A,97.0,Pending,863479297,99544.58,0
17750.0,"7577 Macias Valleys Wardville, PW 81901",1.0,Peter Schwartz,2022-04-01,hclark@example.org,Electrical,0,2024-01-01,Carlson-Chen,(833)302-6375,,,Inactive,127013828,34350.64,1
72124.0,"71357 Austin Street Suite 082 Port Staceymouth, NM 84607",0.0,Mrs. Crystal Adkins,2021-08-11,leviharper@example.com,Consulting,1,2020-03-07,Garcia-Williams,+1-654-412-5035x293,A,55.0,Active,594228787,85930.93,0
34526.0,"58720 Andrews Station Vincentmouth, AS 11716",0.0,Karen Cole,2022-06-23,,Consulting,0,2022-02-03,Davidson-Miller,(297)768-2360x7034,C,61.0,Inactive,747989028,25123.98,0
4714.0,"7884 Jessica Mall Apt. 079 Lake Elizabeth, NM 89517",1.0,,2022-03-07,###invalid###,Construction,0,2021-11-20,Hernandez Group,671-512-3157,,94.0,Pending,416570445,29061.99,0
72746.0,"94431 Amanda Meadows West Alicia, FM 95303",0.0,Sue Hawkins,2021-03-17,wolfealexandria@example.net,Consulting,0,2020-05-29,Thompson-Waller,2288219984,,62.0,Pending,863083754,44382.41,1
32260.0,"3954 Le Cove New Joshuamouth, AL 23333",1.0,###invalid###,2022-01-28,qsmith@example.org,Construction,0,2021-07-11,Gray Inc,926.227.8425x147,C,90.0,Active,462710,28191.47,0
42089.0,###invalid###,1.0,###invalid###,2022-05-08,ruizcharles@example.net,Construction,0,2024-10-24,Jordan-Drake,(252)457-7356x0335,A,69.0,Active,163520991,54702.42,0
19181.0,Unit 0134 Box 6777 DPO AP 20547,1.0,Mckenzie Deleon,2021-03-04,christina08@example.org,Consulting,0,2024-04-23,"Gibson, Walker and Miller",001-568-712-6373x2972,C,50.0,Active,108635763,96944.27,1
89484.0,"33572 Julie Underpass Suite 279 Port Meredith, MA 87472",,Angelica Smith,2025-02-14,sarahjackson@example.com,Electrical,1,2024-12-21,Torres and Sons,569.628.1397,B,94.0,Pending,735464120,48484.91,0
24777.0,"78494 Kathryn Parks Suite 376 Lake Shariton, NM 15077",,Thomas Park,2023-01-24,floresdennis@example.com,Consulting,0,2021-12-22,,+1-418-584-2614x7861,C,94.0,Active,777748292,69042.57,1
83001.0,"84646 Mason Motorway Apt. 273 Leahberg, AS 50784",0.0,Michael Estrada,2023-05-04,josephowens@example.com,Electrical,1,2022-10-07,Webb LLC,696.226.0673x6415,A,,Active,80414039,36286.02,
95300.0,Unit 2211 Box 5319 DPO AE 87398,0.0,Jennifer Lee,2020-03-11,,Consulting,1,2024-08-01,"Flowers, Kelly and Mueller",4363835499,B,97.0,Pending,8017508,87670.86,1
93302.0,"319 Christopher Squares Apt. 202 North Kara, MD 10807",,Francisco Krueger,2024-01-31,sarahmorgan@example.org,Plumbing,0,2023-02-27,Kane-Moreno,6955140814,A,56.0,Pending,953632581,69385.96,1
52156.0,"16904 Watson Parkway Nathanshire, WI 07455",1.0,Susan Espinoza,2021-05-31,aliciamurphy@example.net,Construction,1,2022-11-11,Powell LLC,001-317-820-2567x76675,C,65.0,Pending,941424010,###invalid###,1
36290.0,"74327 Kristina Ranch Apt. 651 Tracyfort, MP 75953",1.0,,2023-06-30,jjohnson@example.net,,1,2021-07-11,"Castillo, Williams and Ford",(287)382-3957x1869,A,72.0,Inactive,795951497,60052.99,0
